path,pred,max_softmax,entropy,energy,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,predicted_class
test_external/Eucalipto blanco/Fri Oct 04 15-39-27.jpg,1,0.8102337121963501,0.7918940782546997,-3.382307529449463,0.012472105212509632,0.8102337121963501,0.023091426119208336,0.013141047209501266,0.02275008335709572,0.013472399674355984,0.09028639644384384,0.014552917331457138,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-42-23.jpg,1,0.8238795399665833,0.7974026799201965,-3.2269339561462402,0.017530227079987526,0.8238795399665833,0.017182769253849983,0.021848702803254128,0.0342680960893631,0.04363471269607544,0.02089913748204708,0.020756760612130165,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-42-32.jpg,1,0.8767619132995605,0.6041502952575684,-3.4772229194641113,0.011892911046743393,0.8767619132995605,0.013483015820384026,0.014628530479967594,0.034609176218509674,0.017110837623476982,0.018691912293434143,0.012821684591472149,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-42-55.jpg,1,0.9283348321914673,0.3948041498661041,-3.9884252548217773,0.011210923083126545,0.9283348321914673,0.011448796838521957,0.007663872558623552,0.01600215770304203,0.007320063188672066,0.008023830130696297,0.009995575062930584,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-43-05.jpg,1,0.9175986647605896,0.4409897029399872,-3.8145108222961426,0.008567122742533684,0.9175986647605896,0.015187029726803303,0.007472377736121416,0.018684925511479378,0.009258746169507504,0.01269853487610817,0.01053259801119566,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-43-14.jpg,1,0.9058346748352051,0.4928973317146301,-3.698507785797119,0.011684590019285679,0.9058346748352051,0.01678241230547428,0.009113308042287827,0.01880458928644657,0.013416087254881859,0.011430649086833,0.012933662161231041,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-43-39.jpg,1,0.9351161122322083,0.36356255412101746,-4.113959312438965,0.0054635158739984035,0.9351161122322083,0.007160647306591272,0.014245864003896713,0.00809429120272398,0.011852119117975235,0.010222155600786209,0.007845256477594376,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-44-20.jpg,1,0.8535556197166443,0.6934435963630676,-3.3399851322174072,0.013695762492716312,0.8535556197166443,0.020965280011296272,0.016953349113464355,0.032499417662620544,0.026979167014360428,0.011617769487202168,0.023733586072921753,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-49-59.jpg,1,0.9211878180503845,0.4284580945968628,-3.7871694564819336,0.010609998367726803,0.9211878180503845,0.014114422723650932,0.00947366189211607,0.011652803979814053,0.012785608880221844,0.010599642060697079,0.009575977921485901,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-52-35.jpg,1,0.9027098417282104,0.5034234523773193,-3.692197799682617,0.008224841207265854,0.9027098417282104,0.010965529829263687,0.015838321298360825,0.0176905058324337,0.02114693447947502,0.008875821717083454,0.01454826258122921,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-52-43.jpg,1,0.920924961566925,0.42848414182662964,-3.818704843521118,0.007065765559673309,0.920924961566925,0.010330949909985065,0.011061864905059338,0.014483858831226826,0.014031384140253067,0.012565375305712223,0.009535922668874264,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-53-06.jpg,1,0.8973550796508789,0.5280969738960266,-3.6395535469055176,0.01150758471339941,0.8973550796508789,0.010900483466684818,0.018610375002026558,0.017766818404197693,0.0185287706553936,0.01189027912914753,0.013440596871078014,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-53-12.jpg,1,0.9001255035400391,0.5142648816108704,-3.7204554080963135,0.00914473831653595,0.9001255035400391,0.012959272600710392,0.011961981654167175,0.024631435051560402,0.011231756769120693,0.01623077504336834,0.01371447928249836,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-53-38.jpg,1,0.881018340587616,0.5935574769973755,-3.5993330478668213,0.013195904903113842,0.881018340587616,0.013384089805185795,0.016446642577648163,0.02534588798880577,0.018645592033863068,0.015011443756520748,0.0169521514326334,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 15-54-56.jpg,1,0.9086594581604004,0.48282885551452637,-3.832113027572632,0.010919866152107716,0.9086594581604004,0.01329788751900196,0.014357398264110088,0.014014541171491146,0.013783798553049564,0.014100340195000172,0.010866676457226276,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 16-22-51.jpg,1,0.9014202952384949,0.512081503868103,-3.56081485748291,0.01006289105862379,0.9014202952384949,0.016222408041357994,0.01196165382862091,0.016745537519454956,0.012726898305118084,0.017600659281015396,0.01325975265353918,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 16-22-57.jpg,1,0.8860288858413696,0.5727007389068604,-3.5174901485443115,0.015297165140509605,0.8860288858413696,0.021021351218223572,0.009577397257089615,0.022712860256433487,0.01461092010140419,0.017376331612467766,0.013375039212405682,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 16-23-12.jpg,1,0.8031523823738098,0.8638331294059753,-3.0844452381134033,0.03590945526957512,0.8031523823738098,0.026326490566134453,0.011785440146923065,0.0488552488386631,0.02600707672536373,0.01885147951543331,0.029112329706549644,Eucalyptus_cladocalyx
test_external/Eucalipto blanco/Fri Oct 04 16-23-48.jpg,1,0.904969334602356,0.4964457154273987,-3.5412604808807373,0.01216217502951622,0.904969334602356,0.015517727471888065,0.009207426570355892,0.017974529415369034,0.017269063740968704,0.010790886357426643,0.012108845636248589,Eucalyptus_cladocalyx
