path,label,pred,correct,max_softmax,entropy,energy,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,predicted_class
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(100).png,0,0,True,0.9231252670288086,0.4204079806804657,-4.169834136962891,0.9231252670288086,0.011668761260807514,0.010495622642338276,0.010536701418459415,0.00965486653149128,0.010546996258199215,0.011390110477805138,0.012581566348671913,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(101).png,0,0,True,0.9220021367073059,0.4252696633338928,-4.143707752227783,0.9220021367073059,0.011362372897565365,0.011728780344128609,0.010739310644567013,0.009353281930088997,0.010217542760074139,0.011725916527211666,0.012870542705059052,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(102).png,0,0,True,0.9238467812538147,0.41737204790115356,-4.165146350860596,0.9238467812538147,0.01144083309918642,0.010645820759236813,0.010496136732399464,0.009918151423335075,0.010959647595882416,0.011304782703518867,0.011387886479496956,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(103).png,0,0,True,0.9271140694618225,0.4023919403553009,-4.212397575378418,0.9271140694618225,0.01070958562195301,0.010605507530272007,0.009825268760323524,0.008706830441951752,0.00939137302339077,0.010896842926740646,0.012750591151416302,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(104).png,0,0,True,0.9215630888938904,0.4267313778400421,-4.116840362548828,0.9215630888938904,0.011634803377091885,0.010697569698095322,0.010232643224298954,0.00856222677975893,0.011007546447217464,0.011945661157369614,0.01435654517263174,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(105).png,0,0,True,0.927085816860199,0.4025437831878662,-4.185084342956543,0.927085816860199,0.010164106264710426,0.010136846452951431,0.009315729141235352,0.008596731349825859,0.01097929198294878,0.011509009636938572,0.012212454341351986,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(81).png,0,0,True,0.9288768768310547,0.394722580909729,-4.230029106140137,0.9288768768310547,0.01015395112335682,0.009726889431476593,0.009543413296341896,0.00936111155897379,0.009938126429915428,0.010486508719623089,0.011913270689547062,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(82).png,0,0,True,0.9271855354309082,0.4021972417831421,-4.204507827758789,0.9271855354309082,0.010449539870023727,0.009910347871482372,0.0091722896322608,0.008966377936303616,0.011099062860012054,0.01141788624227047,0.011799037456512451,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(83).png,0,0,True,0.921507716178894,0.4272603392601013,-4.152056694030762,0.921507716178894,0.011345195583999157,0.011177487671375275,0.009680396877229214,0.009257418103516102,0.011912907473742962,0.011552025564014912,0.013566822744905949,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(84).png,0,0,True,0.9281188249588013,0.3980313539505005,-4.2113142013549805,0.9281188249588013,0.010113514959812164,0.010426913388073444,0.009197226725518703,0.008905556052923203,0.010056884028017521,0.011502159759402275,0.011679014191031456,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(85).png,0,0,True,0.9233173727989197,0.41937053203582764,-4.161813735961914,0.9233173727989197,0.010624146088957787,0.01134529523551464,0.010007300414144993,0.009357480332255363,0.010477324016392231,0.01157471165060997,0.013296416029334068,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(86).png,0,0,True,0.9224221706390381,0.42320775985717773,-4.143252372741699,0.9224221706390381,0.01137310266494751,0.010884130373597145,0.009435540996491909,0.009003455750644207,0.011705510318279266,0.012249312363564968,0.012926802039146423,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(87).png,0,0,True,0.9244536757469177,0.4143141508102417,-4.17620849609375,0.9244536757469177,0.011009769514203072,0.010757354088127613,0.009497969411313534,0.008988105691969395,0.010841725394129753,0.011714117601513863,0.012737303040921688,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(88).png,0,0,True,0.9222836494445801,0.42403489351272583,-4.127777576446533,0.9222836494445801,0.010861261747777462,0.011211507953703403,0.010074496269226074,0.009961987845599651,0.010417159646749496,0.01204876508563757,0.013141225092113018,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(89).png,0,0,True,0.9247488975524902,0.4130454659461975,-4.187608242034912,0.9247488975524902,0.010898272506892681,0.0111676175147295,0.009669488295912743,0.009199697524309158,0.01003995817154646,0.011615320108830929,0.01266074925661087,Eucalyptus_camaldulensis
/workspace/P8/data/test/Eucalyptus_camaldulensis/3358. Eucalyptus camandulensis.4.(90).png,0,0,True,0.9215922355651855,0.42699548602104187,-4.167590141296387,0.9215922355651855,0.011362869292497635,0.011426853016018867,0.010323301889002323,0.009726298041641712,0.01037636585533619,0.011454785242676735,0.013737224042415619,Eucalyptus_camaldulensis
